,callDateTime,priority,district,description,callNumber,incidentLocation,location
184,7/13/2015 11:46,Medium,SE,COMMON ASSAULT,P151941172,7000 CONLEY ST,"(39.2904218,-76.5297820)"
185,7/13/2015 11:48,Low,NE,HIT AND RUN,P151941173,3200 ROSALIE AV,"(39.3665900,-76.5428160)"
186,7/13/2015 11:47,Low,CD,LARCENCY,P151941174,400 E PRATT ST,"(39.2872661,-76.6093253)"
187,7/13/2015 11:48,Medium,NE,MISSING PERSON,P151941175,3200 RAVENWOOD AV,"(39.3154674,-76.5783686)"
188,7/13/2015 11:49,Low,SE,OTHER,P151941176,6700 BESSEMER AV,"(39.2772190,-76.5324340)"
189,7/13/2015 11:48,Medium,ND,911/NO  VOICE,P151941177,1000 TUNBRIDGE RD,"(39.3562712,-76.6005300)"
190,7/13/2015 11:49,Low,TRU,LARCENY F/AUTO,P151941178,1400 WILMER CT,"(39.3008047,-76.6322253)"
191,7/13/2015 11:46,Medium,WD,DISORDERLY,P151941180,1100 N FULTON AV,"(39.3010590,-76.6462480)"
192,7/13/2015 11:50,Medium,SW,911/NO  VOICE,P151941181,700 POPLAR GROVE ST,"(39.2956120,-76.6653450)"
193,7/13/2015 11:50,High,ND,ROBBERY ARMED,P151941182,6300 YORK RD,"(39.3708423,-76.6106243)"
194,7/13/2015 11:50,Low,SW,AUTO ACCIDENT,P151941183,JAMES ST/S CATON AV,"(39.258258,-76.664568)"
195,7/13/2015 11:52,Medium,CW,Lab Request,P151941184,100 N MILTON AV,"(39.2932140,-76.5822050)"
196,7/13/2015 11:51,Medium,SD,DISORDERLY,P151941185,3500 S HANOVER ST,"(39.2403956,-76.6086211)"
197,7/13/2015 11:50,Medium,SE,NARCOTICSOutside,P151941186,E FAYETTE ST/N BROADWAY,"(39.293965,-76.594117)"
198,7/13/2015 11:51,Medium,NW,DISORDERLY,P151941187,3700 W BELVEDERE AV,"(39.3464230,-76.6805640)"
199,7/13/2015 11:50,Medium,CD,911/NO  VOICE,P151941188,200 N CALVERT ST,"(39.2912379,-76.6124711)"
200,7/13/2015 11:52,High,SE,AUTO ACC/INJURY,P151941189,S BROADWAY/E LOMBARD ST,"(39.290367,-76.593878)"
201,7/13/2015 11:52,High,SE,AUTO ACC/INJURY,P151941190,E LOMBARD ST/S BROADWAY,"(39.290367,-76.593878)"
202,7/13/2015 11:52,High,WD,AGGRAV ASSAULT,P151941191,1600 VINCENT CT,"(39.3067502,-76.6441329)"
